Jurisdiction,Total resident cases as at 14 Dec 2022,Total resident cases as at 21 Dec 2022,Date
National,3291,4536,2023-01-02
NSW,986,1485,2023-01-02
Vic,1088,1383,2023-01-02
Qld,444,647,2023-01-02
WA,270,278,2023-01-02
SA,338,502,2023-01-02
Tas,92,138,2023-01-02
ACT,45,86,2023-01-02
NT,28,17,2023-01-02
