Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,86961,1430,48,8573,6848,165,54508,2022-09-08
NSW,50994,1,0,3665,3,0,24363,2022-09-08
VIC,12270,0,0,2237,0,0,14891,2022-09-08
QLD,11751,11,0,1765,175,0,8067,2022-09-08
WA,5941,589,37,709,2425,116,5016,2022-09-08
SA,3616,622,7,17,2742,22,991,2022-09-08
TAS,960,69,1,95,417,9,737,2022-09-08
ACT,892,138,0,0,1086,0,0,2022-09-08
NT,537,0,3,85,0,18,443,2022-09-08
