Jurisdiction,Active,Recovered,Deaths,Date
Australia,894,1919,897,2021-12-22
ACT,4,8,7,2021-12-22
NSW,370,122,105,2021-12-22
NT,0,0,0,2021-12-22
QLD,0,0,1,2021-12-22
SA,0,0,0,2021-12-22
TAS,0,0,1,2021-12-22
VIC,519,1789,783,2021-12-22
WA,0,0,0,2021-12-22
