Jurisdiction,Total resident cases as at 14 Dec 2022,Total resident cases as at 21 Dec 2022,Date
National,3291,4536,2022-12-31
NSW,986,1485,2022-12-31
Vic,1088,1383,2022-12-31
Qld,444,647,2022-12-31
WA,270,278,2022-12-31
SA,338,502,2022-12-31
Tas,92,138,2022-12-31
ACT,45,86,2022-12-31
NT,28,17,2022-12-31
