Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,444180,11644,32,42470,76359,165,279337,2022-04-14
ACT,5676,1073,0,0,6819,0,0,2022-04-14
NSW,234081,1,1,18263,8,2,122988,2022-04-14
NT,3146,34,0,447,124,0,3000,2022-04-14
QLD,54818,41,0,9135,841,2,55616,2022-04-14
SA,35052,4871,8,107,33548,59,817,2022-04-14
TAS,11060,1,0,1831,4,0,13034,2022-04-14
VIC,60756,435,0,10472,2407,0,71016,2022-04-14
WA,39591,5188,23,2215,32608,102,12866,2022-04-14
