Age Group,Male,Female,Date
0-9,4,4,2022-06-09
10-19,3,3,2022-06-09
20-29,14,10,2022-06-09
30-39,45,26,2022-06-09
40-49,81,49,2022-06-09
50-59,210,128,2022-06-09
60-69,502,279,2022-06-09
70-79,1125,589,2022-06-09
80-89,1748,1243,2022-06-09
90+,974,1211,2022-06-09
