Age Group,Male,Female,Date
0-9,4,4,2022-04-28
10-19,2,3,2022-04-28
20-29,11,8,2022-04-28
30-39,37,25,2022-04-28
40-49,72,45,2022-04-28
50-59,187,108,2022-04-28
60-69,430,222,2022-04-28
70-79,954,489,2022-04-28
80-89,1433,1002,2022-04-28
90+,766,934,2022-04-28
