Jurisdiction,Total resident cases as at 07 Dec 2022,Total resident cases as at 14 Dec 2022,Date
National,3551,3427,2022-12-21
NSW,1205,1035,2022-12-21
Vic,1006,1136,2022-12-21
Qld,418,455,2022-12-21
WA,374,273,2022-12-21
SA,418,363,2022-12-21
Tas,58,92,2022-12-21
ACT,59,45,2022-12-21
NT,13,28,2022-12-21
