Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,25687,757,13,3344,3793,89,15558,2021-12-18
ACT,89,18,0,0,58,6,0,2021-12-18
NSW,11760,367,5,2110,1746,32,7783,2021-12-18
NT,71,5,0,0,38,8,0,2021-12-18
QLD,84,14,2,15,58,13,22,2021-12-18
SA,233,35,1,37,146,7,65,2021-12-18
TAS,4,1,0,0,4,0,0,2021-12-18
VIC,13443,317,5,1182,1743,21,7688,2021-12-18
WA,3,0,0,0,0,2,0,2021-12-18
