Jurisdiction,Average daily cases as at 20 Dec 2022,Change in average cases compared to previous week (%),Date
National,15314,- 4.0%,2023-01-04
NSW,5632,- 4.7%,2023-01-04
Vic,3549,+ 0.4%,2023-01-04
Qld,1934,- 10.6%,2023-01-04
WA,1628,- 2.3%,2023-01-04
SA,1476,- 5.1%,2023-01-04
Tas,558,- 3.1%,2023-01-04
ACT,439,+ 3.4%,2023-01-04
NT,99,- 22.4%,2023-01-04
