Age Group,Male,Female,Date
0-9,0,0,2021-11-11
10-19,1,1,2021-11-11
20-29,6,3,2021-11-11
30-39,12,7,2021-11-11
40-49,27,10,2021-11-11
50-59,66,39,2021-11-11
60-69,136,57,2021-11-11
70-79,246,151,2021-11-11
80-89,352,315,2021-11-11
90+,169,264,2021-11-11
