Jurisdiction,Active,Recovered,Deaths,Date
Australia,98,78,13,2022-01-11
ACT,0,0,0,2022-01-11
NSW,26,15,3,2022-01-11
NT,0,0,0,2022-01-11
QLD,3,8,0,2022-01-11
SA,0,1,0,2022-01-11
TAS,0,3,2,2022-01-11
VIC,69,51,7,2022-01-11
WA,0,0,1,2022-01-11
