Age Group,Male,Female,Date
0-9,0,0,2021-11-18
10-19,1,1,2021-11-18
20-29,6,3,2021-11-18
30-39,12,7,2021-11-18
40-49,28,12,2021-11-18
50-59,70,39,2021-11-18
60-69,144,58,2021-11-18
70-79,256,157,2021-11-18
80-89,362,325,2021-11-18
90+,171,270,2021-11-18
