Age Group,Male,Female,Date
0-9,5,7,2022-09-04
10-19,4,3,2022-09-04
20-29,19,10,2022-09-04
30-39,55,37,2022-09-04
40-49,107,76,2022-09-04
50-59,296,184,2022-09-04
60-69,720,397,2022-09-04
70-79,1683,927,2022-09-04
80-89,2678,2022,2022-09-04
90+,1668,2129,2022-09-04
