Jurisdiction,Total resident cases as at 01 Feb 2023,Total resident cases as at 08 Feb 2023,Date
National,779,570,2023-02-15
NSW,304,203,2023-02-15
Vic,130,78,2023-02-15
Qld,129,115,2023-02-15
WA,100,89,2023-02-15
SA,69,59,2023-02-15
Tas,9,10,2023-02-15
ACT,4,0,2023-02-15
NT,34,16,2023-02-15
