Jurisdiction,Total staff cases as at 14 Dec 2022,Total staff cases as at 21 Dec 2022,Date
National,1578,2052,2022-12-23
NSW,495,674,2022-12-23
Vic,396,477,2022-12-23
Qld,334,499,2022-12-23
WA,121,122,2022-12-23
SA,163,221,2022-12-23
Tas,29,35,2022-12-23
ACT,24,16,2022-12-23
NT,16,8,2022-12-23
