Jurisdiction,Average daily cases as at 21 Feb 2023,Change in average cases compared to previous week (%),Date
National,2618,+ 1.2%,2023-02-25
NSW,935,+ 4.1%,2023-02-25
Vic,440,- 8.7%,2023-02-25
Qld,503,- 4.2%,2023-02-25
WA,325,+ 7.4%,2023-02-25
SA,252,+ 5.0%,2023-02-25
Tas,76,+ 34.3%,2023-02-25
ACT,73,+ 8.3%,2023-02-25
NT,15,0%,2023-02-25
