Age Group,Male,Female,Date
0-9,5,9,2022-08-17
10-19,9,3,2022-08-17
20-29,17,12,2022-08-17
30-39,55,32,2022-08-17
40-49,110,78,2022-08-17
50-59,292,176,2022-08-17
60-69,695,392,2022-08-17
70-79,1608,875,2022-08-17
80-89,2547,1916,2022-08-17
90+,1537,1983,2022-08-17
