Age Group,Male,Female,Date
0-9,1,4,2022-02-11
10-19,1,2,2022-02-11
20-29,9,3,2022-02-11
30-39,29,16,2022-02-11
40-49,46,27,2022-02-11
50-59,122,76,2022-02-11
60-69,257,132,2022-02-11
70-79,587,322,2022-02-11
80-89,902,634,2022-02-11
90+,467,573,2022-02-11
