Age Group,Male,Female,Date
0-9,114349,106796,2022-03-13
10-19,142190,151338,2022-03-13
20-29,239732,252755,2022-03-13
30-39,182336,195776,2022-03-13
40-49,129326,143891,2022-03-13
50-59,98772,106325,2022-03-13
60-69,63427,63570,2022-03-13
70-79,33455,30121,2022-03-13
80-89,13613,14193,2022-03-13
90+,3242,5689,2022-03-13
