Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,233975,6498,13,26914,33419,85,163623,2022-03-10
ACT,4139,838,0,0,4791,0,0,2022-03-10
NSW,118038,0,0,13179,1,1,74815,2022-03-10
NT,2643,133,0,114,412,0,2283,2022-03-10
QLD,28524,111,0,4690,783,3,31100,2022-03-10
SA,20279,2520,7,33,13817,50,262,2022-03-10
TAS,5728,0,0,1125,1,0,6709,2022-03-10
VIC,38874,295,0,6786,1491,0,42683,2022-03-10
WA,15750,2601,6,987,12123,31,5771,2022-03-10
