Jurisdiction,Total resident cases as at 13 Sep 2022,Total resident cases as at 20 Sep 2022,Date
National,1245,960,2022-09-30
NSW,483,326,2022-09-30
Vic,380,320,2022-09-30
Qld,91,83,2022-09-30
WA,108,102,2022-09-30
SA,153,107,2022-09-30
Tas,10,10,2022-09-30
ACT,20,6,2022-09-30
NT,0,6,2022-09-30
