Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,204194,3771,8,23603,18445,64,145116,2022-02-23
ACT,3185,946,0,0,4000,0,0,2022-02-23
NSW,100745,0,0,8931,6,1,55027,2022-02-23
NT,5513,62,0,771,99,0,5334,2022-02-23
QLD,32741,176,0,6125,1235,1,35406,2022-02-23
SA,14119,1924,8,26,9698,56,172,2022-02-23
TAS,4088,0,0,842,3,0,4670,2022-02-23
VIC,42016,342,0,6584,2250,0,43656,2022-02-23
WA,1787,321,0,324,1154,6,851,2022-02-23
