Age Group,Male,Female,Date
0-9,3,3,2022-03-30
10-19,1,1,2022-03-30
20-29,11,5,2022-03-30
30-39,33,19,2022-03-30
40-49,59,35,2022-03-30
50-59,158,91,2022-03-30
60-69,372,182,2022-03-30
70-79,811,411,2022-03-30
80-89,1191,846,2022-03-30
90+,643,759,2022-03-30
