Age Group,Male,Female,Date
0-9,5,7,2022-09-13
10-19,4,3,2022-09-13
20-29,19,11,2022-09-13
30-39,55,34,2022-09-13
40-49,108,77,2022-09-13
50-59,299,187,2022-09-13
60-69,740,405,2022-09-13
70-79,1725,941,2022-09-13
80-89,2738,2072,2022-09-13
90+,1715,2186,2022-09-13
