Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,27318,842,1,1343,5522,24,10275,2021-10-18
ACT,441,17,0,0,175,0,55,2021-10-18
NSW,4500,265,1,0,2466,7,0,2021-10-18
NT,9,0,0,0,5,5,0,2021-10-18
QLD,28,0,0,0,1,8,0,2021-10-18
SA,7,0,0,0,2,1,0,2021-10-18
TAS,2,0,0,0,1,0,0,2021-10-18
VIC,22327,560,0,1343,2872,1,10220,2021-10-18
WA,4,0,0,0,0,2,0,2021-10-18
