Jurisdiction,Total resident cases as at 12 Oct 2022,Total resident cases as at 19 Oct 2022,Date
National,681,768,2022-10-22
NSW,238,197,2022-10-22
Vic,145,157,2022-10-22
Qld,61,93,2022-10-22
WA,87,168,2022-10-22
SA,115,139,2022-10-22
Tas,35,9,2022-10-22
ACT,0,4,2022-10-22
NT,0,1,2022-10-22
