Jurisdiction,Active,Recovered,Deaths,Date
Australia,761,1813,877,2021-12-04
ACT,4,8,7,2021-12-04
NSW,277,122,99,2021-12-04
NT,0,0,0,2021-12-04
QLD,0,0,1,2021-12-04
SA,0,0,0,2021-12-04
TAS,0,0,1,2021-12-04
VIC,480,1683,769,2021-12-04
WA,0,0,0,2021-12-04
