Age Group,Male,Female,Date
0-9,0,0,2021-10-28
10-19,1,1,2021-10-28
20-29,6,3,2021-10-28
30-39,9,5,2021-10-28
40-49,23,10,2021-10-28
50-59,57,36,2021-10-28
60-69,118,45,2021-10-28
70-79,220,136,2021-10-28
80-89,318,299,2021-10-28
90+,158,249,2021-10-28
