Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,119498,1244,24,7440,9283,198,78573,2022-08-29
NSW,73108,0,0,3394,18,0,35966,2022-08-29
VIC,16522,0,0,2147,0,0,19586,2022-08-29
QLD,14210,2,0,1231,104,0,13807,2022-08-29
WA,7517,452,18,512,3115,141,6198,2022-08-29
SA,4694,551,2,12,3756,21,1323,2022-08-29
TAS,1427,91,3,78,702,24,975,2022-08-29
ACT,1329,148,0,0,1588,0,0,2022-08-29
NT,691,0,1,66,0,12,718,2022-08-29
