Age Group,Male,Female,Date
0-9,14018,13361,2021-11-17
10-19,14820,13999,2021-11-17
20-29,19957,18663,2021-11-17
30-39,17225,15983,2021-11-17
40-49,12222,11383,2021-11-17
50-59,9211,8791,2021-11-17
60-69,5564,5337,2021-11-17
70-79,3032,2847,2021-11-17
80-89,1542,1957,2021-11-17
90+,447,952,2021-11-17
