Jurisdiction,Average daily cases as at 03 Jan 2023,Change in average cases compared to previous week (%),Date
National,8950,- 23.3%,2023-01-09
NSW,3114,- 31.4%,2023-01-09
Vic,1922,- 22.7%,2023-01-09
Qld,1369,- 3.1%,2023-01-09
WA,1043,- 10.9%,2023-01-09
SA,858,- 24.0%,2023-01-09
Tas,349,- 30.3%,2023-01-09
ACT,236,- 35.8%,2023-01-09
NT,59,+ 2.0%,2023-01-09
