Age Group,Male,Female,Date
0-9,0,0,2021-11-04
10-19,1,1,2021-11-04
20-29,6,3,2021-11-04
30-39,9,6,2021-11-04
40-49,25,10,2021-11-04
50-59,62,36,2021-11-04
60-69,131,49,2021-11-04
70-79,234,143,2021-11-04
80-89,333,308,2021-11-04
90+,162,260,2021-11-04
