Jurisdiction,Average daily cases as at 22 Nov 2022,Change in average cases compared to previous week (%),Date
National,11953,+ 10.7%,2022-11-30
NSW,4280,+ 18.9%,2022-11-30
Vic,3098,+ 7.3%,2022-11-30
Qld,1276,- 3.3%,2022-11-30
WA,1442,+ 14.2%,2022-11-30
SA,1238,+ 6.2%,2022-11-30
Tas,351,+ 7.2%,2022-11-30
ACT,222,+ 14.4%,2022-11-30
NT,44,+ 2.6%,2022-11-30
