Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,131609,1792,38,11666,12399,226,83367,2022-08-28
NSW,80381,4,0,5641,16,0,39140,2022-08-28
VIC,17852,0,0,2935,0,0,21584,2022-08-28
QLD,15677,34,0,2057,2749,0,12352,2022-08-28
WA,8492,621,25,783,3227,157,6758,2022-08-28
SA,5418,746,5,19,3966,30,1610,2022-08-28
TAS,1597,140,8,118,737,24,1132,2022-08-28
ACT,1433,247,0,0,1704,0,0,2022-08-28
NT,759,0,0,113,0,15,791,2022-08-28
