Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,201995,3348,90,16409,19712,389,126003,2022-08-16
ACT,2294,412,0,0,2825,0,0,2022-08-16
NSW,123072,2,0,7143,13,0,59217,2022-08-16
NT,1093,0,4,204,0,20,1266,2022-08-16
QLD,23192,34,1,3197,105,2,20572,2022-08-16
SA,9553,1299,15,22,7619,51,2542,2022-08-16
TAS,3081,279,12,220,1701,34,1895,2022-08-16
VIC,27203,0,0,4858,0,0,32884,2022-08-16
WA,12507,1322,58,765,7449,282,7627,2022-08-16
