Jurisdiction,Average daily cases as at 01 Nov 2022,Change in average cases compared to previous week (%),Date
National,5300,+ 17.3%,2022-11-09
NSW,1604,+ 21.4%,2022-11-09
Vic,1403,+ 20.5%,2022-11-09
Qld,556,- 6.4%,2022-11-09
WA,941,+ 17.0%,2022-11-09
SA,484,+ 27.0%,2022-11-09
Tas,162,+ 40.3%,2022-11-09
ACT,114,+ 17.8%,2022-11-09
NT,35,- 16.5%,2022-11-09
