Jurisdiction,Active,Recovered,Deaths,Date
Australia,62,76,12,2021-12-15
ACT,0,0,0,2021-12-15
NSW,20,15,3,2021-12-15
NT,0,0,0,2021-12-15
QLD,0,8,0,2021-12-15
SA,0,1,0,2021-12-15
TAS,0,3,2,2021-12-15
VIC,43,49,5,2021-12-15
WA,0,0,1,2021-12-15
