Jurisdiction,Not in ICU,ICU,Date
Australia,2270,60,2022-09-13
NSW,1476,27,2022-09-13
QLD,216,6,2022-09-13
VIC,200,13,2022-09-13
WA,188,4,2022-09-13
ACT,85,1,2022-09-13
SA,69,8,2022-09-13
TAS,20,1,2022-09-13
NT,16,0,2022-09-13
