Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,193018,3691,77,17049,18636,382,120640,2022-08-17
NSW,117163,4,0,8060,10,0,55928,2022-08-17
VIC,26476,0,0,4732,0,0,31718,2022-08-17
QLD,21896,20,0,3062,77,2,19873,2022-08-17
WA,12224,1544,54,807,7104,270,7500,2022-08-17
SA,9078,1430,7,21,7217,49,2523,2022-08-17
TAS,2885,268,11,209,1534,40,1876,2022-08-17
ACT,2245,425,0,0,2694,0,0,2022-08-17
NT,1051,0,5,158,0,21,1222,2022-08-17
