Jurisdiction,Average daily cases as at 06 Dec 2022,Change in average cases compared to previous week (%),Date
National,15569,+ 8.5%,2022-12-10
NSW,5603,+ 7.6%,2022-12-10
Vic,3971,+ 4.9%,2022-12-10
Qld,1735,+ 20.4%,2022-12-10
WA,1803,+ 10.8%,2022-12-10
SA,1405,+ 1.9%,2022-12-10
Tas,594,+ 15.7%,2022-12-10
ACT,350,+ 16.8%,2022-12-10
NT,108,+ 13.6%,2022-12-10
