Jurisdiction,Average daily cases as at 24 Jan 2023,Change in average cases compared to previous week (%),Date
National,3168,- 26.5%,2023-01-29
NSW,1108,- 29.7%,2023-01-29
Vic,521,- 30.9%,2023-01-29
Qld,670,- 12.1%,2023-01-29
WA,430,- 28.9%,2023-01-29
SA,243,- 22.9%,2023-01-29
Tas,79,- 37.7%,2023-01-29
ACT,85,- 29.8%,2023-01-29
NT,32,- 34.9%,2023-01-29
