Jurisdiction,Total resident cases as at 23 Nov 2022,Total resident cases as at 30 Nov 2022,Date
National,2527,3075,2022-12-08
NSW,914,1118,2022-12-08
Vic,597,820,2022-12-08
Qld,406,403,2022-12-08
WA,312,262,2022-12-08
SA,278,391,2022-12-08
Tas,10,45,2022-12-08
ACT,10,13,2022-12-08
NT,0,23,2022-12-08
