Age Group,Male,Female,Date
0-9,5,7,2022-09-07
10-19,4,3,2022-09-07
20-29,18,10,2022-09-07
30-39,55,33,2022-09-07
40-49,108,77,2022-09-07
50-59,297,187,2022-09-07
60-69,731,404,2022-09-07
70-79,1714,935,2022-09-07
80-89,2712,2053,2022-09-07
90+,1703,2160,2022-09-07
