Age Group,Male,Female,Date
0-9,221525,207738,2022-07-05
10-19,269595,290276,2022-07-05
20-29,415285,459854,2022-07-05
30-39,368743,412599,2022-07-05
40-49,286052,329081,2022-07-05
50-59,230551,254046,2022-07-05
60-69,157318,160041,2022-07-05
70-79,90102,81989,2022-07-05
80-89,39102,40661,2022-07-05
90+,10023,17778,2022-07-05
