Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,114694,1629,45,10488,8883,191,76186,2022-08-30
NSW,68865,6,0,4265,21,0,34667,2022-08-30
VIC,16040,0,0,2950,0,0,19283,2022-08-30
QLD,14746,40,0,2364,120,0,13413,2022-08-30
WA,7274,582,32,663,2965,141,5853,2022-08-30
SA,4515,663,4,18,3595,18,1322,2022-08-30
TAS,1342,136,3,118,650,19,963,2022-08-30
ACT,1254,202,0,0,1532,0,0,2022-08-30
NT,658,0,6,110,0,13,685,2022-08-30
