Age Group,Male,Female,Date
0-9,161751,151892,2022-04-25
10-19,201754,214655,2022-04-25
20-29,304551,327424,2022-04-25
30-39,250531,276575,2022-04-25
40-49,188300,213609,2022-04-25
50-59,144576,155837,2022-04-25
60-69,95241,95681,2022-04-25
70-79,52506,47258,2022-04-25
80-89,21470,21719,2022-04-25
90+,5054,8762,2022-04-25
