Jurisdiction,Average daily cases as at 08 Nov 2022,Change in average cases compared to previous week (%),Date
National,7809,+ 47.3%,2022-11-14
NSW,2469,+ 54.0%,2022-11-14
Vic,2213,+ 57.7%,2022-11-14
Qld,758,+ 36.3%,2022-11-14
WA,1074,+ 14.1%,2022-11-14
SA,819,+ 69.2%,2022-11-14
Tas,265,+ 64.1%,2022-11-14
ACT,163,+ 42.4%,2022-11-14
NT,48,+ 36.3%,2022-11-14
