Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,324046,11003,47,32018,71416,333,198314,2022-05-07
ACT,5845,1053,0,0,6805,0,0,2022-05-07
NSW,141810,0,0,10995,8,0,79846,2022-05-07
NT,2359,26,0,340,138,1,2201,2022-05-07
QLD,37850,39,0,7001,140,0,43685,2022-05-07
SA,21748,2798,7,69,23075,71,548,2022-05-07
TAS,6235,620,0,487,2022,0,5102,2022-05-07
VIC,59365,0,0,10305,0,0,50973,2022-05-07
WA,48834,6467,40,2821,39228,261,15959,2022-05-07
