Jurisdiction,Total resident cases as at 11 Jan 2023,Total resident cases as at 18 Jan 2023,Date
National,2603,1687,2023-01-21
NSW,957,429,2023-01-21
Vic,442,387,2023-01-21
Qld,525,444,2023-01-21
WA,218,131,2023-01-21
SA,341,223,2023-01-21
Tas,97,43,2023-01-21
ACT,15,9,2023-01-21
NT,8,21,2023-01-21
