Jurisdiction,Active,Recovered,Deaths,Date
Australia,32,73,10,2021-10-22
ACT,0,0,0,2021-10-22
NSW,18,13,2,2021-10-22
NT,0,0,0,2021-10-22
QLD,0,8,0,2021-10-22
SA,0,1,0,2021-10-22
TAS,0,3,2,2021-10-22
VIC,13,48,5,2021-10-22
WA,0,0,1,2021-10-22
