Jurisdiction,Active,Recovered,Deaths,Date
Australia,658,1465,797,2021-10-29
ACT,0,8,7,2021-10-29
NSW,304,89,87,2021-10-29
NT,0,0,0,2021-10-29
QLD,0,0,1,2021-10-29
SA,0,0,0,2021-10-29
TAS,0,0,1,2021-10-29
VIC,359,1368,701,2021-10-29
WA,0,0,0,2021-10-29
