Jurisdiction,Total staff cases as at 16 Nov 2022,Total staff cases as at 23 Nov 2022,Date
National,963,1021,2022-11-26
NSW,260,332,2022-11-26
Vic,215,206,2022-11-26
Qld,189,221,2022-11-26
WA,122,106,2022-11-26
SA,152,143,2022-11-26
Tas,14,3,2022-11-26
ACT,7,9,2022-11-26
NT,4,1,2022-11-26
