Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,30054,813,1,1427,4947,24,10623,2021-10-24
ACT,390,9,0,0,139,0,0,2021-10-24
NSW,4626,296,0,0,2124,4,0,2021-10-24
NT,9,0,0,0,0,0,0,2021-10-24
QLD,26,0,0,0,1,10,0,2021-10-24
SA,7,0,1,0,0,3,0,2021-10-24
TAS,1,0,0,0,0,0,0,2021-10-24
VIC,24993,508,0,1427,2683,7,10623,2021-10-24
WA,2,0,0,0,0,0,0,2021-10-24
