Jurisdiction,Active,Recovered,Deaths,Date
Australia,691,1550,819,2021-11-05
ACT,0,8,7,2021-11-05
NSW,281,110,93,2021-11-05
NT,0,0,0,2021-11-05
QLD,0,0,1,2021-11-05
SA,0,0,0,2021-11-05
TAS,0,0,1,2021-11-05
VIC,410,1432,717,2021-11-05
WA,0,0,0,2021-11-05
