Jurisdiction,Total resident cases as at 13 Sep 2022,Total resident cases as at 20 Sep 2022,Date
National,1245,960,2022-09-26
NSW,483,326,2022-09-26
Vic,380,320,2022-09-26
Qld,91,83,2022-09-26
WA,108,102,2022-09-26
SA,153,107,2022-09-26
Tas,10,10,2022-09-26
ACT,20,6,2022-09-26
NT,0,6,2022-09-26
