Jurisdiction,Total resident cases as at 19 Oct 2022,Total resident cases as at 26 Oct 2022,Date
National,744,834,2022-11-03
NSW,197,152,2022-11-03
Vic,152,237,2022-11-03
Qld,93,79,2022-11-03
WA,168,227,2022-11-03
SA,120,120,2022-11-03
Tas,9,16,2022-11-03
ACT,4,3,2022-11-03
NT,1,0,2022-11-03
