Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,378298,16286,51,33868,83595,265,172523,2022-05-23
ACT,6008,963,0,0,5074,0,0,2022-05-23
NSW,133158,0,0,10084,8,0,52595,2022-05-23
NT,1909,257,7,27,1414,22,96,2022-05-23
QLD,38950,17,0,6203,111,1,30594,2022-05-23
SA,25257,3817,4,80,19068,39,426,2022-05-23
TAS,6266,678,0,307,3615,2,1677,2022-05-23
VIC,76765,0,0,12556,0,0,65138,2022-05-23
WA,89985,10554,40,4611,54305,201,21997,2022-05-23
