Age Group,Male,Female,Date
0-9,17268,16378,2021-12-10
10-19,17399,16509,2021-12-10
20-29,22162,20904,2021-12-10
30-39,19345,18433,2021-12-10
40-49,14162,13398,2021-12-10
50-59,10546,10120,2021-12-10
60-69,6451,6248,2021-12-10
70-79,3608,3390,2021-12-10
80-89,1789,2227,2021-12-10
90+,493,1054,2021-12-10
