Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,326554,7715,44,17400,67849,358,181990,2022-05-02
ACT,5692,823,0,0,5476,0,997,2022-05-02
NSW,152784,0,0,9303,12,1,76695,2022-05-02
NT,2807,15,0,248,118,1,2623,2022-05-02
QLD,36603,0,0,5333,255,4,39038,2022-05-02
SA,24792,2986,8,76,24349,60,1719,2022-05-02
TAS,6289,0,0,816,2302,0,4910,2022-05-02
VIC,54150,0,0,0,193,0,41316,2022-05-02
WA,43437,3891,36,1624,35144,292,14692,2022-05-02
