Age Group,Male,Female,Date
0-9,226456,212534,2022-08-16
10-19,267482,287966,2022-08-16
20-29,420876,470857,2022-08-16
30-39,384354,431698,2022-08-16
40-49,300704,346430,2022-08-16
50-59,251184,280190,2022-08-16
60-69,178608,183633,2022-08-16
70-79,106561,98459,2022-08-16
80-89,48268,51215,2022-08-16
90+,12869,23303,2022-08-16
