Jurisdiction,Total resident cases as at 08 Feb 2023,Total resident cases as at 15 Feb 2023,Date
National,548,666,2023-02-21
NSW,195,211,2023-02-21
Vic,76,118,2023-02-21
Qld,107,199,2023-02-21
WA,88,33,2023-02-21
SA,59,84,2023-02-21
Tas,10,17,2023-02-21
ACT,0,0,2023-02-21
NT,13,4,2023-02-21
