Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,178227,2330,41,14743,15694,323,112370,2022-08-19
NSW,107707,5,0,6894,18,0,50925,2022-08-19
VIC,24735,0,0,3857,0,0,29261,2022-08-19
QLD,20250,20,0,2726,95,1,19001,2022-08-19
WA,11595,797,34,929,5885,235,7658,2022-08-19
SA,8210,1047,4,11,6089,36,2495,2022-08-19
TAS,2686,203,1,196,1209,35,1878,2022-08-19
ACT,2054,258,0,0,2398,0,0,2022-08-19
NT,990,0,2,130,0,16,1152,2022-08-19
