Jurisdiction,Total resident cases as at 28 Sep 2022,Total resident cases as at 05 Oct 2022,Date
National,682,658,2022-10-09
NSW,213,169,2022-10-09
Vic,202,173,2022-10-09
Qld,80,59,2022-10-09
WA,103,53,2022-10-09
SA,51,144,2022-10-09
Tas,5,36,2022-10-09
ACT,7,2,2022-10-09
NT,21,22,2022-10-09
